,Lineup,Tm,Season,G,MP,Tm,Opp,Pace,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,PTS,lineupID
99,M. Dunleavy | E. Moore,CHI,2014-15,19,101.9,200,208,96.1,+3.6,-5.9,+.074,+2.3,+0.8,+.091,+.090,+4.6,+5.4,+.026,+14.1,"('dunlemi02', 'mooreet01')"
100,D. Green | P. Mills,SAS,2014-15,46,288.8,579,581,96.4,+2.7,-1.3,+.037,+6.6,+13.4,+.072,+.076,+2.0,+0.4,+.064,+14.0,"('greenda02', 'millspa02')"
101,D. Green | T. Splitter,SAS,2014-15,52,683.4,1325,1329,93.2,+5.9,+1.0,+.060,+1.9,+2.2,+.053,+.070,+0.4,+0.2,+.013,+14.0,"('greenda02', 'splitti01')"
102,M. Ginóbili | P. Mills,SAS,2014-15,39,406.4,826,811,96.7,+4.2,+3.3,+.033,+5.1,+12.2,+.040,+.060,+0.4,-2.8,+.103,+13.9,"('ginobma01', 'millspa02')"
103,M. Speights | K. Thompson,GSW,2014-15,70,597.2,1263,1248,100.9,+6.5,+2.0,+.063,+3.0,+4.7,+.051,+.078,-2.1,-4.8,+.069,+13.9,"('speigma01', 'thompkl01')"
104,M. Bonner | T. Splitter,SAS,2014-15,21,104.3,207,203,94.4,+4.1,-3.7,+.065,+3.2,+10.7,-.062,+.086,+2.5,+5.4,-.076,+13.8,"('bonnema01', 'splitti01')"
105,J. Dorsey | J. Smith,HOU,2014-15,35,216.0,457,458,101.7,+2.9,+3.0,+.018,+4.0,+8.1,+.046,+.039,+4.0,+6.8,-.028,+13.8,"('dorsejo01', 'smithjo03')"
106,A. Baynes | B. Diaw,SAS,2014-15,64,566.8,1123,1127,95.3,+6.6,+3.9,+.057,+3.1,+6.4,+.042,+.073,-2.7,-5.3,+.068,+13.7,"('baynear01', 'diawbo01')"
107,B. Griffin | C. Paul,LAC,2014-15,67,2159.6,4278,4269,95.0,+4.8,+0.9,+.050,+2.1,+2.5,+.044,+.061,+2.0,+3.8,-.031,+13.7,"('griffbl01', 'paulch01')"
0,T. Black | N. Young,LAL,2014-15,11,110.5,211,217,92.9,+2.4,+2.8,+.014,-5.8,-11.5,-.069,-0.022,+14.6,+17.2,+.089,+13.7,"('blackta01', 'youngni01')"
1,K. Durant | A. Roberson,OKC,2014-15,27,403.1,802,831,97.2,+4.5,+2.2,+.040,+0.2,-0.3,+.013,+.039,+4.6,+6.1,-.008,+13.7,"('duranke01', 'roberan03')"
2,E. Turner | G. Wallace,BOS,2014-15,23,98.7,189,191,92.4,+7.3,+2.5,+.069,-0.5,-9.2,+.102,+.065,-0.4,-1.3,+.021,+13.7,"('turneev01', 'wallage01')"
3,M. McGary | R. Westbrook,OKC,2014-15,27,201.5,432,438,103.6,+7.0,+6.5,+.046,+2.4,-0.6,+.121,+.057,-2.9,-4.2,+.017,+13.5,"('mcgarmi01', 'westbru01')"
4,T. Allen | N. Calathes,MEM,2014-15,31,303.9,579,601,93.2,+6.3,+6.7,+.040,-2.0,-8.5,+.027,+.026,+2.8,+3.7,+.007,+13.4,"('allento01', 'calatni01')"
